id,name,glottocode,iso639_3,macroarea,latitude,longitude,family
1196,Portuguese,port1283,por,Eurasia,39.91,-8.1,Indo-European
1197,"Nicobarese, Central",cent1990,ncb,Eurasia,7.94812,93.3921,Austroasiatic
1198,Ainu,ainu1251,aib,Eurasia,39.2714,76.4209,Turkic
1199,"Gelao, Red",redg1235,gir,Eurasia,23.1868,104.993,Tai-Kadai
1200,Kapampangan,pamp1243,pam,Papunesia,14.9603,120.502,Austronesian
1201,Jiamao,jiam1236,jio,Eurasia,18.5548,109.854,Tai-Kadai
1202,Bola,bola1250,bnp,Papunesia,-5.55792,150.095,Austronesian
1203,Bulu,bulu1253,bjl,Papunesia,-5.06134,150.101,Austronesian
1204,Lahat (Central Malay),cent2053,pse,Papunesia,-3.79673,103.137,Austronesian
1205,Meramera,mera1242,mxm,Papunesia,-4.97468,151.528,Austronesian
1206,Fas,fass1245,fqs,Papunesia,-3.10868,141.64,Baibai-Fas
1207,Mangaia,mang1402,rar,Papunesia,,,Austronesian
1208,Naga Bikol,cent2087,bcl,Papunesia,13.7574,123.403,Austronesian
1209,Paser,lawa1257,lbx,Papunesia,-1.80261,115.876,Austronesian
1210,Nasal,nasa1239,nsy,Papunesia,-4.8652,103.5719,Austronesian
1211,Arta,arta1239,atz,Papunesia,16.4185,121.656,Austronesian
1212,Nukeria,nuku1259,nur,Papunesia,-3.40038,154.731,Austronesian
1213,Ra'ivavae,raiv1237,aut,Papunesia,-23.86742,-147.6551,Austronesian
1214,Old Rapa (Rapa),rapa1245,ray,Papunesia,-27.6304,-144.338,Austronesian
1215,Ponosakan,pono1240,pns,Papunesia,0.91716,124.712,Austronesian
