id,name,glottocode,iso639_3,macroarea,latitude,longitude,family
941,Eastern Yugu 东部裕固语,east2337,yuy,Eurasia,38.83687,99.61725,Mongolic-Khitan
942,Bao'an 保安语,bona1250,peh,Eurasia,35.515,102.01778,Mongolic-Khitan
943,Mongol 蒙古语,halh1238,khk,Eurasia,48.32397,106.28874,Mongolic-Khitan
944,Southwestern Mandarin (Bijie),mand1415,cmn,Eurasia,40.0209,116.228,Sino-Tibetan
945,"Gelao, Hongfeng",whit1267,giw,Eurasia,23.0196,105.07,Tai-Kadai
946,Proto-Seko,seko1241,,,,,Austronesian
947,Qabiao (Phó Là),qabi1235,laq,Eurasia,23.2384,104.812,Tai-Kadai
948,Gelao (Heijiaoyan),whit1267,giw,Eurasia,23.0196,105.07,Tai-Kadai
949,Laha,laha1250,lha,Eurasia,21.55149,103.86379,Tai-Kadai
950,Proto-Manide-Alabat,alab1255,,,,,Austronesian
951,Proto-Lolo-Burmese,lolo1265,,,,,Sino-Tibetan
952,Proto-Alor-Pantar,alor1249,,,,,Timor-Alor-Pantar
953,Mondzi,mond1267,,Eurasia,23.446095,105.416304,Sino-Tibetan
954,Maang,maan1239,,Eurasia,23.555104,105.70091,Sino-Tibetan
955,Gaokujiao Lolo,,,,,,
956,White Lolo,,,,,,
957,Black Lolo,mant1265,nty,Eurasia,23.1829,105.405,Sino-Tibetan
958,Flowery Lolo,mant1265,nty,Eurasia,23.1829,105.405,Sino-Tibetan
959,Qo Xiong (Jiwei),west2430,mmr,Eurasia,28.33,109.67,Hmong-Mien
960,Bolyu,boly1239,ply,Eurasia,24.7013,104.955,Austroasiatic
961,Bugan (Nala),buga1247,bbh,Eurasia,23.6124,104.963,Austroasiatic
962,Bugan (Manlong),buga1247,bbh,Eurasia,23.6124,104.963,Austroasiatic
963,Mantsi,mant1265,nty,Eurasia,23.1829,105.405,Sino-Tibetan
964,Mo'ang,mant1265,nty,Eurasia,23.1829,105.405,Sino-Tibetan
965,Kathu,kath1251,ykt,Eurasia,24.2,105.1,Sino-Tibetan
966,Mang (Jinping),mang1378,zng,Eurasia,22.37,102.884,Austroasiatic
967,Pa Na,pana1310,,Eurasia,26.263819,110.096687,Hmong-Mien
968,Kambowa,kiok1239,ues,Papunesia,-4.99012,122.951,Austronesian
969,Kioko,kiok1239,ues,Papunesia,-4.99012,122.951,Austronesian
970,Mongi,wusa1235,yig,Eurasia,25.7707,102.367,Sino-Tibetan
971,Caijia,caij1234,,Eurasia,27.284,105.292,Sino-Tibetan
972,Mori Bawah (Tofatu),mori1268,xmz,Papunesia,-2.56016,121.37,Austronesian
973,Waxianghua (Guzhang),waxi1236,wxa,Eurasia,28.644,110.362,Sino-Tibetan
974,Yao (Lianmin),lian1256,,Eurasia,26.937902,110.157802,Tai-Kadai
975,Mien (Tashi),iumi1238,ium,Eurasia,20.83,101.17,Hmong-Mien
976,Biao (Fengkai),biao1253,byk,Eurasia,23.656,113.391,Tai-Kadai
977,Yi (Powu),sich1238,iii,Eurasia,28.1947,102.121,Sino-Tibetan
978,Itawis,itaw1240,itv,Papunesia,17.7329,121.58,Austronesian
979,Proto-Nisoic,,,,,,
980,Tangga (Feni),anir1237,hrw,Papunesia,,,Austronesian
981,Mentawai (Madobat),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
982,Mentawai (Salappa),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
983,Mentawai (Ulubaga),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
984,Mentawai (Bariulou),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
985,Mentawai (Bosua),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
986,Mentawai (Sioban),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
987,Mentawai (Pasapuat),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
988,Mentawai (Silabu),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
989,Mentawai (Saumanganya),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
990,Mentawai (Boriai),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
991,Mentawai (Bulasat),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
992,Mentawai (Sikakap),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
993,Enggano (Meok),engg1245,eno,Papunesia,-5.38846,102.245,Austronesian
994,Simeulue,sime1241,smr,Papunesia,2.50288,96.2757,Austronesian
995,Papitalai,papi1254,pat,Papunesia,-2.06222,147.417,Austronesian
996,Moor,morm1235,mhz,Papunesia,-2.87055,135.95,Austronesian
997,Andio,andi1257,bzb,Papunesia,-0.88368,123.174,Austronesian
998,East Kara (Lemakot),east2453,leu,Papunesia,,,Austronesian
999,Uma (Kantewu dialect),umaa1242,ppk,Papunesia,-1.70416,119.968,Austronesian
1000,Lelepa,lele1267,lpa,Papunesia,-17.6042,168.202,Austronesian
1001,Vao,vaoo1237,vao,Papunesia,-15.898299,167.309973,Austronesian
1002,Maskelynes,mask1242,klv,Papunesia,-16.5073,167.818,Austronesian
1003,Paama (Lironesa),paam1238,pma,Papunesia,-16.47548,168.23693,Austronesian
1004,Futuna-Aniwa (Aniwa),aniw1237,fut,Papunesia,,,Austronesian
1005,Araki,arak1252,akr,Papunesia,-15.632997,166.952542,Austronesian
1006,Roria,rori1237,rga,Papunesia,-15.4048,166.843,Austronesian
1007,Bierebo (Yevali),bier1244,bnk,Papunesia,-16.6663,168.154,Austronesian
1008,Lamenu (Visina),lame1260,lmu,Papunesia,-16.6098,168.171,Austronesian
1009,Mpotovoro,mpot1241,mvt,Papunesia,-15.8988,167.232,Austronesian
1010,Akei (Penantsiro),akei1237,tsr,Papunesia,-15.6377,166.767,Austronesian
1011,Tutuba,tutu1241,tmi,Papunesia,-15.580667,167.268889,Austronesian
1012,Uripiv-Wala-Rano-Atchin (Uripiv),urip1239,upv,Papunesia,-16.00951,167.34643,Austronesian
1013,Lapwangtoai,sout2869,nwi,Papunesia,-19.57953,169.35603,Austronesian
1014,Sie,siee1239,erg,Papunesia,-18.8181,169.166,Austronesian
